NeuroMiner Report: Import NiFTI/Analyze files 
Caller: Discovery data import
Date: 16-Jul-2021 08:53:17
OS: PCWIN64
===============================================================================================================================
wp142772_MRI_sMRI_400752.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp143331_MRI_sMRI_400753.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp144939_MRI_sMRI_400768.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp146963_MRI_sMRI_400782.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp147513_MRI_sMRI_400790.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp148023_MRI_sMRI_400795.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp149979_MRI_sMRI_400813.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp150869_MRI_sMRI_400823.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp151645_MRI_sMRI_400838.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp152240_MRI_sMRI_400841.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp155852_MRI_sMRI_400864.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp156953_MRI_sMRI_400875.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp154974_MRI_sMRI_400891.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp156574_MRI_sMRI_400905.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp158796_MRI_sMRI_400925.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp159056_MRI_sMRI_400926.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp159383_MRI_sMRI_400932.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp160591_MRI_sMRI_400933.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp161568_MRI_sMRI_400951.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp162125_MRI_sMRI_400960.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp162988_MRI_sMRI_400970.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp164346_MRI_sMRI_400985.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
wp167678_MRI_sMRI_401027.nii           | Global: 1.0 | Scaling: 1 | Vox dim: -1.50  1.50  1.50  1.00 | Origin: 91.5-127.5 -73.5
